POrderID,EmployeeID,Received
1,6,true
2,6,true
3,6,true
4,6,true
5,6,true
6,6,true
7,6,true
8,6,true
9,6,true
10,6,true
11,6,true
12,6,true
13,6,true
14,6,true
15,6,true
16,6,true
17,6,true
18,6,true
19,6,true
20,6,true
21,6,true
22,6,true
23,6,true
24,6,true
25,6,true
26,6,true
27,6,true
28,6,true
29,6,true
30,6,true
31,6,true
32,6,true
33,6,true
34,6,true
35,6,true
36,6,true
37,6,true
38,6,true
39,6,true
40,6,true
41,6,true
42,6,true
43,6,true
44,6,true
45,6,true
46,6,true
47,6,true
48,6,true
49,6,true
50,6,false
51,6,true
52,6,true
53,6,true
54,6,false
55,6,false
56,6,false
57,6,true
58,6,true
59,6,false
60,6,false
